variable,value,row_path,col_path_1,col_path_2,col_path_2_LIST,col_path_3,col_path_3_LIST,col_path_4,col_path_4_LIST,col_path_5,col_path_5_LIST,data_type,col_path_1_values,col_path_2_values,col_path_3_values,col_path_4_values
Activity Summary,"{'ActivitySummaryMap': {'note': 'string', 'videosCommentedOnSinceAccountRegistration': 'number', 'videosSharedSinceAccountRegistration': 'number', 'videosWatchedToTheEndSinceAccountRegistration': 'number'}}",Activity Summary,ActivitySummaryMap,note,NO LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'note': 'string', 'videosCommentedOnSinceAccountRegistration': 'number', 'videosSharedSinceAccountRegistration': 'number', 'videosWatchedToTheEndSinceAccountRegistration': 'number'}",string,Missing,Missing
Activity Summary,"{'ActivitySummaryMap': {'note': 'string', 'videosCommentedOnSinceAccountRegistration': 'number', 'videosSharedSinceAccountRegistration': 'number', 'videosWatchedToTheEndSinceAccountRegistration': 'number'}}",Activity Summary,ActivitySummaryMap,videosCommentedOnSinceAccountRegistration,NO LIST,Missing,NO LIST,Missing,MISSING,,MISSING,number,"{'note': 'string', 'videosCommentedOnSinceAccountRegistration': 'number', 'videosSharedSinceAccountRegistration': 'number', 'videosWatchedToTheEndSinceAccountRegistration': 'number'}",number,Missing,Missing
Activity Summary,"{'ActivitySummaryMap': {'note': 'string', 'videosCommentedOnSinceAccountRegistration': 'number', 'videosSharedSinceAccountRegistration': 'number', 'videosWatchedToTheEndSinceAccountRegistration': 'number'}}",Activity Summary,ActivitySummaryMap,videosSharedSinceAccountRegistration,NO LIST,Missing,NO LIST,Missing,MISSING,,MISSING,number,"{'note': 'string', 'videosCommentedOnSinceAccountRegistration': 'number', 'videosSharedSinceAccountRegistration': 'number', 'videosWatchedToTheEndSinceAccountRegistration': 'number'}",number,Missing,Missing
Activity Summary,"{'ActivitySummaryMap': {'note': 'string', 'videosCommentedOnSinceAccountRegistration': 'number', 'videosSharedSinceAccountRegistration': 'number', 'videosWatchedToTheEndSinceAccountRegistration': 'number'}}",Activity Summary,ActivitySummaryMap,videosWatchedToTheEndSinceAccountRegistration,NO LIST,Missing,NO LIST,Missing,MISSING,,MISSING,number,"{'note': 'string', 'videosCommentedOnSinceAccountRegistration': 'number', 'videosSharedSinceAccountRegistration': 'number', 'videosWatchedToTheEndSinceAccountRegistration': 'number'}",number,Missing,Missing
Favorite Effects,{'FavoriteEffectsList': None},Favorite Effects,FavoriteEffectsList,Missing,MISSING,Missing,MISSING,Missing,MISSING,,MISSING,,Missing,Missing,Missing,Missing
Favorite Hashtags,{'FavoriteHashtagList': None},Favorite Hashtags,FavoriteHashtagList,Missing,MISSING,Missing,MISSING,Missing,MISSING,,MISSING,,Missing,Missing,Missing,Missing
Favorite Sounds,{'FavoriteSoundList': None},Favorite Sounds,FavoriteSoundList,Missing,MISSING,Missing,MISSING,Missing,MISSING,,MISSING,,Missing,Missing,Missing,Missing
Favorite Videos,"{'App': 'number', 'FavoriteVideoList': [{'Date': 'string', 'Link': 'string'}]}",Favorite Videos,App,Missing,NO LIST,Missing,MISSING,Missing,MISSING,,MISSING,number,number,Missing,Missing,Missing
Favorite Videos,"{'App': 'number', 'FavoriteVideoList': [{'Date': 'string', 'Link': 'string'}]}",Favorite Videos,FavoriteVideoList,Date,LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'Date': 'string', 'Link': 'string'}",string,Missing,Missing
Favorite Videos,"{'App': 'number', 'FavoriteVideoList': [{'Date': 'string', 'Link': 'string'}]}",Favorite Videos,FavoriteVideoList,Link,LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'Date': 'string', 'Link': 'string'}",string,Missing,Missing
Follower List,"{'App': 'number', 'IsFastLane': 'boolean', 'FansList': [{'Date': 'string', 'UserName': 'string'}]}",Follower List,App,Missing,NO LIST,Missing,MISSING,Missing,MISSING,,MISSING,number,number,Missing,Missing,Missing
Follower List,"{'App': 'number', 'IsFastLane': 'boolean', 'FansList': [{'Date': 'string', 'UserName': 'string'}]}",Follower List,IsFastLane,Missing,NO LIST,Missing,MISSING,Missing,MISSING,,MISSING,boolean,boolean,Missing,Missing,Missing
Follower List,"{'App': 'number', 'IsFastLane': 'boolean', 'FansList': [{'Date': 'string', 'UserName': 'string'}]}",Follower List,FansList,Date,LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'Date': 'string', 'UserName': 'string'}",string,Missing,Missing
Follower List,"{'App': 'number', 'IsFastLane': 'boolean', 'FansList': [{'Date': 'string', 'UserName': 'string'}]}",Follower List,FansList,UserName,LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'Date': 'string', 'UserName': 'string'}",string,Missing,Missing
Following List,"{'App': 'number', 'IsFastLane': 'boolean', 'Following': [{'Date': 'string', 'UserName': 'string'}]}",Following List,App,Missing,NO LIST,Missing,MISSING,Missing,MISSING,,MISSING,number,number,Missing,Missing,Missing
Following List,"{'App': 'number', 'IsFastLane': 'boolean', 'Following': [{'Date': 'string', 'UserName': 'string'}]}",Following List,IsFastLane,Missing,NO LIST,Missing,MISSING,Missing,MISSING,,MISSING,boolean,boolean,Missing,Missing,Missing
Following List,"{'App': 'number', 'IsFastLane': 'boolean', 'Following': [{'Date': 'string', 'UserName': 'string'}]}",Following List,Following,Date,LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'Date': 'string', 'UserName': 'string'}",string,Missing,Missing
Following List,"{'App': 'number', 'IsFastLane': 'boolean', 'Following': [{'Date': 'string', 'UserName': 'string'}]}",Following List,Following,UserName,LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'Date': 'string', 'UserName': 'string'}",string,Missing,Missing
Hashtag,"{'HashtagList': [{'HashtagName': 'string', 'HashtagLink': 'string'}]}",Hashtag,HashtagList,HashtagName,LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'HashtagName': 'string', 'HashtagLink': 'string'}",string,Missing,Missing
Hashtag,"{'HashtagList': [{'HashtagName': 'string', 'HashtagLink': 'string'}]}",Hashtag,HashtagList,HashtagLink,LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'HashtagName': 'string', 'HashtagLink': 'string'}",string,Missing,Missing
Like List,"{'App': 'number', 'ItemFavoriteList': [{'date': 'string', 'link': 'string'}]}",Like List,App,Missing,NO LIST,Missing,MISSING,Missing,MISSING,,MISSING,number,number,Missing,Missing,Missing
Like List,"{'App': 'number', 'ItemFavoriteList': [{'date': 'string', 'link': 'string'}]}",Like List,ItemFavoriteList,date,LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'date': 'string', 'link': 'string'}",string,Missing,Missing
Like List,"{'App': 'number', 'ItemFavoriteList': [{'date': 'string', 'link': 'string'}]}",Like List,ItemFavoriteList,link,LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'date': 'string', 'link': 'string'}",string,Missing,Missing
Login History,"{'LoginHistoryList': [{'Date': 'string', 'IP': 'string', 'DeviceModel': 'string', 'DeviceSystem': 'string', 'NetworkType': 'string', 'Carrier': 'string'}]}",Login History,LoginHistoryList,Date,LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'Date': 'string', 'IP': 'string', 'DeviceModel': 'string', 'DeviceSystem': 'string', 'NetworkType': 'string', 'Carrier': 'string'}",string,Missing,Missing
Login History,"{'LoginHistoryList': [{'Date': 'string', 'IP': 'string', 'DeviceModel': 'string', 'DeviceSystem': 'string', 'NetworkType': 'string', 'Carrier': 'string'}]}",Login History,LoginHistoryList,IP,LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'Date': 'string', 'IP': 'string', 'DeviceModel': 'string', 'DeviceSystem': 'string', 'NetworkType': 'string', 'Carrier': 'string'}",string,Missing,Missing
Login History,"{'LoginHistoryList': [{'Date': 'string', 'IP': 'string', 'DeviceModel': 'string', 'DeviceSystem': 'string', 'NetworkType': 'string', 'Carrier': 'string'}]}",Login History,LoginHistoryList,DeviceModel,LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'Date': 'string', 'IP': 'string', 'DeviceModel': 'string', 'DeviceSystem': 'string', 'NetworkType': 'string', 'Carrier': 'string'}",string,Missing,Missing
Login History,"{'LoginHistoryList': [{'Date': 'string', 'IP': 'string', 'DeviceModel': 'string', 'DeviceSystem': 'string', 'NetworkType': 'string', 'Carrier': 'string'}]}",Login History,LoginHistoryList,DeviceSystem,LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'Date': 'string', 'IP': 'string', 'DeviceModel': 'string', 'DeviceSystem': 'string', 'NetworkType': 'string', 'Carrier': 'string'}",string,Missing,Missing
Login History,"{'LoginHistoryList': [{'Date': 'string', 'IP': 'string', 'DeviceModel': 'string', 'DeviceSystem': 'string', 'NetworkType': 'string', 'Carrier': 'string'}]}",Login History,LoginHistoryList,NetworkType,LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'Date': 'string', 'IP': 'string', 'DeviceModel': 'string', 'DeviceSystem': 'string', 'NetworkType': 'string', 'Carrier': 'string'}",string,Missing,Missing
Login History,"{'LoginHistoryList': [{'Date': 'string', 'IP': 'string', 'DeviceModel': 'string', 'DeviceSystem': 'string', 'NetworkType': 'string', 'Carrier': 'string'}]}",Login History,LoginHistoryList,Carrier,LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'Date': 'string', 'IP': 'string', 'DeviceModel': 'string', 'DeviceSystem': 'string', 'NetworkType': 'string', 'Carrier': 'string'}",string,Missing,Missing
Most Recent Location Data,"{'LocationData': {'Date': 'string', 'GpsData': 'string', 'LastRegion': 'string'}}",Most Recent Location Data,LocationData,Date,NO LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'Date': 'string', 'GpsData': 'string', 'LastRegion': 'string'}",string,Missing,Missing
Most Recent Location Data,"{'LocationData': {'Date': 'string', 'GpsData': 'string', 'LastRegion': 'string'}}",Most Recent Location Data,LocationData,GpsData,NO LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'Date': 'string', 'GpsData': 'string', 'LastRegion': 'string'}",string,Missing,Missing
Most Recent Location Data,"{'LocationData': {'Date': 'string', 'GpsData': 'string', 'LastRegion': 'string'}}",Most Recent Location Data,LocationData,LastRegion,NO LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'Date': 'string', 'GpsData': 'string', 'LastRegion': 'string'}",string,Missing,Missing
Purchase History,"{'SendGifts': {'SendGifts': None}, 'BuyGifts': {'BuyGifts': None}}",Purchase History,SendGifts,SendGifts,NO LIST,Missing,MISSING,Missing,MISSING,,MISSING,,{'SendGifts': None},Missing,Missing,Missing
Purchase History,"{'SendGifts': {'SendGifts': None}, 'BuyGifts': {'BuyGifts': None}}",Purchase History,BuyGifts,BuyGifts,NO LIST,Missing,MISSING,Missing,MISSING,,MISSING,,{'BuyGifts': None},Missing,Missing,Missing
Search History,"{'SearchList': [{'Date': 'string', 'SearchTerm': 'string'}]}",Search History,SearchList,Date,LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'Date': 'string', 'SearchTerm': 'string'}",string,Missing,Missing
Search History,"{'SearchList': [{'Date': 'string', 'SearchTerm': 'string'}]}",Search History,SearchList,SearchTerm,LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'Date': 'string', 'SearchTerm': 'string'}",string,Missing,Missing
Share History,"{'ShareHistoryList': [{'Date': 'string', 'SharedContent': 'string', 'Link': 'string', 'Method': 'string'}]}",Share History,ShareHistoryList,Date,LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'Date': 'string', 'SharedContent': 'string', 'Link': 'string', 'Method': 'string'}",string,Missing,Missing
Share History,"{'ShareHistoryList': [{'Date': 'string', 'SharedContent': 'string', 'Link': 'string', 'Method': 'string'}]}",Share History,ShareHistoryList,SharedContent,LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'Date': 'string', 'SharedContent': 'string', 'Link': 'string', 'Method': 'string'}",string,Missing,Missing
Share History,"{'ShareHistoryList': [{'Date': 'string', 'SharedContent': 'string', 'Link': 'string', 'Method': 'string'}]}",Share History,ShareHistoryList,Link,LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'Date': 'string', 'SharedContent': 'string', 'Link': 'string', 'Method': 'string'}",string,Missing,Missing
Share History,"{'ShareHistoryList': [{'Date': 'string', 'SharedContent': 'string', 'Link': 'string', 'Method': 'string'}]}",Share History,ShareHistoryList,Method,LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'Date': 'string', 'SharedContent': 'string', 'Link': 'string', 'Method': 'string'}",string,Missing,Missing
Status,"{'Status List': [{'Resolution': 'string', 'App Version': 'string', 'IDFA': 'string', 'GAID': 'string', 'Android ID': 'string', 'IDFV': 'string', 'Web ID': 'string'}]}",Status,Status List,Resolution,LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'Resolution': 'string', 'App Version': 'string', 'IDFA': 'string', 'GAID': 'string', 'Android ID': 'string', 'IDFV': 'string', 'Web ID': 'string'}",string,Missing,Missing
Status,"{'Status List': [{'Resolution': 'string', 'App Version': 'string', 'IDFA': 'string', 'GAID': 'string', 'Android ID': 'string', 'IDFV': 'string', 'Web ID': 'string'}]}",Status,Status List,App Version,LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'Resolution': 'string', 'App Version': 'string', 'IDFA': 'string', 'GAID': 'string', 'Android ID': 'string', 'IDFV': 'string', 'Web ID': 'string'}",string,Missing,Missing
Status,"{'Status List': [{'Resolution': 'string', 'App Version': 'string', 'IDFA': 'string', 'GAID': 'string', 'Android ID': 'string', 'IDFV': 'string', 'Web ID': 'string'}]}",Status,Status List,IDFA,LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'Resolution': 'string', 'App Version': 'string', 'IDFA': 'string', 'GAID': 'string', 'Android ID': 'string', 'IDFV': 'string', 'Web ID': 'string'}",string,Missing,Missing
Status,"{'Status List': [{'Resolution': 'string', 'App Version': 'string', 'IDFA': 'string', 'GAID': 'string', 'Android ID': 'string', 'IDFV': 'string', 'Web ID': 'string'}]}",Status,Status List,GAID,LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'Resolution': 'string', 'App Version': 'string', 'IDFA': 'string', 'GAID': 'string', 'Android ID': 'string', 'IDFV': 'string', 'Web ID': 'string'}",string,Missing,Missing
Status,"{'Status List': [{'Resolution': 'string', 'App Version': 'string', 'IDFA': 'string', 'GAID': 'string', 'Android ID': 'string', 'IDFV': 'string', 'Web ID': 'string'}]}",Status,Status List,Android ID,LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'Resolution': 'string', 'App Version': 'string', 'IDFA': 'string', 'GAID': 'string', 'Android ID': 'string', 'IDFV': 'string', 'Web ID': 'string'}",string,Missing,Missing
Status,"{'Status List': [{'Resolution': 'string', 'App Version': 'string', 'IDFA': 'string', 'GAID': 'string', 'Android ID': 'string', 'IDFV': 'string', 'Web ID': 'string'}]}",Status,Status List,IDFV,LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'Resolution': 'string', 'App Version': 'string', 'IDFA': 'string', 'GAID': 'string', 'Android ID': 'string', 'IDFV': 'string', 'Web ID': 'string'}",string,Missing,Missing
Status,"{'Status List': [{'Resolution': 'string', 'App Version': 'string', 'IDFA': 'string', 'GAID': 'string', 'Android ID': 'string', 'IDFV': 'string', 'Web ID': 'string'}]}",Status,Status List,Web ID,LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'Resolution': 'string', 'App Version': 'string', 'IDFA': 'string', 'GAID': 'string', 'Android ID': 'string', 'IDFV': 'string', 'Web ID': 'string'}",string,Missing,Missing
Video Browsing History,"{'VideoList': [{'Date': 'string', 'Link': 'string'}]}",Video Browsing History,VideoList,Date,LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'Date': 'string', 'Link': 'string'}",string,Missing,Missing
Video Browsing History,"{'VideoList': [{'Date': 'string', 'Link': 'string'}]}",Video Browsing History,VideoList,Link,LIST,Missing,NO LIST,Missing,MISSING,,MISSING,string,"{'Date': 'string', 'Link': 'string'}",string,Missing,Missing
